docid	allwords	stanfordwords
uiuo.ark+=13960=t8nc6b618	47092	1150
dul1.ark+=13960=t89g6ct7k	28584	659
dul1.ark+=13960=t4vh67297	79582	784
uiuo.ark+=13960=t2z32gn5j	53158	971
uva.x000099740	75960	1606
nyp.33433074911581	60092	972
njp.32101066459445	29826	585
uiuo.ark+=13960=t70v93r77	52087	1238
uiuo.ark+=13960=t6xw4rw1j	66492	1578
uiuo.ark+=13960=t3xs6cp6m	31811	716
mdp.39015063992492	68597	1500
uiuo.ark+=13960=t7np2rz8s	47766	861
nyp.33433074857875	91471	1829
mdp.39015063944352	65651	1372
uiuo.ark+=13960=t4qj7s022	45834	1177
nyp.33433074911557	61873	1292
nyp.33433075769749	97186	3555
nyp.33433074911573	57088	1098
hvd.32044086799087	138301	3649
uiuo.ark+=13960=t08w42g96	45984	1254
njp.32101037604772	37705	1124
uiuo.ark+=13960=t5h99gq2h	43893	1139
mdp.39015063947199	13053	346
nyp.33433075755250	153249	4928
uiuo.ark+=13960=t4pk1235x	57367	1410
njp.32101068167160	44897	987
uc2.ark+=13960=t3gx4dk9q	67932	1598
nyp.33433074910278	75303	1131
uiuo.ark+=13960=t5q81zv8g	65199	2067
mdp.39015000623663	97524	5781
mdp.39015065769393	40926	767
uiuo.ark+=13960=t2j67qh6b	60761	1211
uiuo.ark+=13960=t76t0xv5n	49801	959
uc2.ark+=13960=t7xk8888r	49333	1504
wu.89001048909	181498	8383
njp.32101068167186	47069	1242
mdp.39015014653201	32429	810
uiuo.ark+=13960=t6vx10k7w	33437	910
hvd.hwp4k1	74631	2817
mdp.39015027528697	46810	1420
njp.32101068163946	59828	1243
mdp.39015063931862	17893	563
uc1.32106007220202	194489	9071
hvd.hn2he5	37995	935
dul1.ark+=13960=t9f48pv82	31515	817
mdp.39015016424148	43121	865
uc1.b4104109	181753	5848
uiuo.ark+=13960=t56d67620	101076	1279
hvd.rsmd2m	165568	3536
mdp.39015016424155	44723	883
hvd.hn2tj4	63190	1706
uiuo.ark+=13960=t0bv7w31r	53263	1477
nyp.33433067303937	142696	3397
uiuo.ark+=13960=t4dn4t070	35366	688
uiuo.ark+=13960=t96692w8z	62086	1867
nnc1.1002268442	90933	1939
hvd.hxgeza	61737	1131
mdp.39015010783788	53538	1563
uiuo.ark+=13960=t1hh6st5v	51346	778
uiuo.ark+=13960=t13n2s72x	68768	1687
nyp.33433074938246	107428	2579
hvd.hwe3l9	52354	1390
nyp.33433075729800	38975	786
uiuo.ark+=13960=t71v65g7n	32190	784
uiuo.ark+=13960=t4bp0pp3k	34459	588
uiuo.ark+=13960=t3st87x1j	38388	645
nyp.33433074951652	49184	1548
uiuo.ark+=13960=t6pz5v56p	33873	1163
uiuo.ark+=13960=t3st83j7v	67953	2439
uc1.b4107900	42465	781
njp.32101038084727	52381	1255
uiuo.ark+=13960=t80k2wc85	62802	1198
njp.32101065863092	31789	964
njp.32101032329045	44117	835
uiuo.ark+=13960=t5v702v0c	32542	754
hvd.hwspyj	42436	1337
uiuo.ark+=13960=t7hq4g562	35464	1056
uiuo.ark+=13960=t8bg39w1x	46736	1165
uiuo.ark+=13960=t39z9w75s	43374	1235
uiuo.ark+=13960=t0jt09d3k	57531	1241
uc1.$b287480	22870	468
uiuo.ark+=13960=t2b85x205	42224	1091
hvd.hwkd81	124363	4010
uiuo.ark+=13960=t16m3wk0n	52409	1394
uiuo.ark+=13960=t5db8pd5f	53037	1339
uiuo.ark+=13960=t3417b08v	52321	1546
njp.32101065863100	26319	659
uiuo.ark+=13960=t6c25jh56	65286	1402
uiuo.ark+=13960=t3zs33v38	70736	1925
nnc1.1002356538	39977	1138
nnc1.1002356589	37510	1062
njp.32101030687576	103186	2310
uiuo.ark+=13960=t9c548401	67244	1480
uiuo.ark+=13960=t0gt67j4p	47961	1022
uc1.32106008763432	115392	2822
uiuo.ark+=13960=t4cn7rv19	30390	808
uiuo.ark+=13960=t1tf05388	50541	1063
nyp.33433075723134	115338	2465
uiuo.ark+=13960=t9p27jk9d	62129	1201
njp.32101066458470	36924	433
uc1.$b287479	65580	1652
uiuo.ark+=13960=t9s18j533	37466	952
njp.32101046807218	90807	2399
njp.32101007065988	63980	1544
uiuo.ark+=13960=t12n5mx4m	37678	1026
uiuo.ark+=13960=t3rv0x09k	43733	1138
uiuo.ark+=13960=t3xs68f29	36800	620
uiuo.ark+=13960=t6154xz35	46256	1106
uc1.32106019618427	110777	2996
njp.32101013133515	46481	812
njp.32101062933443	62159	941
nnc1.0315302644	34784	785
uiuo.ark+=13960=t1vd7jt2z	55758	1030
nyp.33433074865290	28683	651
nnc1.0315131394	42818	1512
uiuo.ark+=13960=t3qv4352q	61248	1229
nnc1.0315059251	13591	504
nyp.33433067379978	85545	1955
njp.32101068176427	39032	929
uiuo.ark+=13960=t6b28f15h	37870	597
mdp.39015031045266	48280	1210
uiuo.ark+=13960=t3514q38x	57523	998
uiuo.ark+=13960=t8hd8jz8v	58921	932
uiuo.ark+=13960=t08w43z30	44161	1507
nyp.33433076078843	215853	5927
uiuo.ark+=13960=t4th96q76	36330	951
inu.30000118294887	56646	2403
njp.32101067172963	130849	3607
uiuo.ark+=13960=t12n5t636	56960	1278
uiuo.ark+=13960=t2b85hw0z	39162	832
nnc1.0043378153	46009	1544
uiuo.ark+=13960=t79s2gq4b	52383	1028
uiuo.ark+=13960=t3jw8vm7c	72603	1568
nnc1.1002231824	41246	839
uiuo.ark+=13960=t86h4x71b	44785	664
uiuo.ark+=13960=t04x5pc89	53258	991
mdp.39015063561586	57056	1618
mdp.39015064003018	242082	7082
